@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
190,'2021/11/03 19:40:11:624',9,-0.139587,1,0,0
191,'2021/11/03 19:40:11:729',9,-0.140951,1,0,0
192,'2021/11/03 19:40:11:834',9,-0.138855,1,0,0
193,'2021/11/03 19:40:11:924',9,-0.140991,1,0,0
194,'2021/11/03 19:40:12:028',9,-0.134644,1,0,0
195,'2021/11/03 19:40:18:688',10,-0.684591,0,1,0
196,'2021/11/03 19:40:18:793',10,-0.684916,0,1,0
197,'2021/11/03 19:40:18:899',10,-0.679464,0,1,0
198,'2021/11/03 19:40:19:003',10,-0.683512,0,1,0
199,'2021/11/03 19:40:19:109',10,-0.685994,0,1,0
200,'2021/11/03 19:40:19:213',10,-0.686483,0,1,0
201,'2021/11/03 19:40:19:318',10,-0.684163,0,1,0
202,'2021/11/03 19:40:19:423',10,-0.682638,0,1,0
203,'2021/11/03 19:40:19:528',10,-0.683797,0,1,0
204,'2021/11/03 19:40:19:619',10,-0.684326,0,1,0
205,'2021/11/03 19:40:19:723',10,-0.683126,0,1,0
206,'2021/11/03 19:40:19:828',10,-0.684977,0,1,0
207,'2021/11/03 19:40:19:933',10,-0.683594,0,1,0
208,'2021/11/03 19:40:20:038',10,-0.684163,0,1,0
209,'2021/11/03 19:40:20:143',10,-0.684509,0,1,0
210,'2021/11/03 19:40:20:248',10,-0.682861,0,1,0
211,'2021/11/03 19:40:20:354',10,-0.683655,0,1,0
212,'2021/11/03 19:40:20:459',10,-0.684123,0,1,0
213,'2021/11/03 19:40:20:563',10,-0.683573,0,1,0
214,'2021/11/03 19:40:20:669',10,-0.683289,0,1,0
215,'2021/11/03 19:40:20:774',10,-0.682882,0,1,0
216,'2021/11/03 19:40:20:879',10,-0.684896,0,1,0
217,'2021/11/03 19:40:20:983',10,-0.684041,0,1,0
218,'2021/11/03 19:40:21:089',10,-0.683675,0,1,0
219,'2021/11/03 19:40:21:179',10,-0.684937,0,1,0
220,'2021/11/03 19:40:21:283',10,-0.682882,0,1,0
221,'2021/11/03 19:40:21:389',10,-0.68457,0,1,0
222,'2021/11/03 19:40:21:494',10,-0.683838,0,1,0
223,'2021/11/03 19:40:21:598',10,-0.682963,0,1,0
224,'2021/11/03 19:40:21:704',10,-0.685608,0,1,0
225,'2021/11/03 19:40:21:809',10,-0.683675,0,1,0
226,'2021/11/03 19:40:21:913',10,-0.683899,0,1,0
227,'2021/11/03 19:40:22:018',10,-0.683818,0,1,0
228,'2021/11/03 19:40:22:123',10,-0.682454,0,1,0
229,'2021/11/03 19:40:22:228',10,-0.684977,0,1,0
230,'2021/11/03 19:40:22:333',10,-0.684428,0,1,0
231,'2021/11/03 19:40:22:439',10,-0.684326,0,1,0
232,'2021/11/03 19:40:22:544',10,-0.683553,0,1,0
233,'2021/11/03 19:40:22:648',10,-0.683309,0,1,0
234,'2021/11/03 19:40:22:739',10,-0.684814,0,1,0
235,'2021/11/03 19:40:22:843',10,-0.682576,0,1,0
236,'2021/11/03 19:40:22:949',10,-0.684367,0,1,0
237,'2021/11/03 19:40:23:054',10,-0.684326,0,1,0
238,'2021/11/03 19:40:23:158',10,-0.684346,0,1,0
239,'2021/11/03 19:40:23:264',10,-0.683167,0,1,0
240,'2021/11/03 19:40:23:368',10,-0.683838,0,1,0
241,'2021/11/03 19:40:23:473',10,-0.683187,0,1,0
242,'2021/11/03 19:40:23:578',10,-0.682454,0,1,0
243,'2021/11/03 19:40:23:683',10,-0.684163,0,1,0
244,'2021/11/03 19:40:23:788',10,-0.683879,0,1,0
245,'2021/11/03 19:40:23:893',10,-0.684245,0,1,0
246,'2021/11/03 19:40:23:998',10,-0.684855,0,1,0
247,'2021/11/03 19:40:24:103',10,-0.684062,0,1,0
248,'2021/11/03 19:40:24:209',10,-0.685547,0,1,0
249,'2021/11/03 19:40:24:298',10,-0.684489,0,1,0
250,'2021/11/03 19:40:24:403',10,-0.682658,0,1,0
251,'2021/11/03 19:40:24:509',10,-0.683126,0,1,0
252,'2021/11/03 19:40:24:613',10,-0.697713,0,1,0
253,'2021/11/03 19:40:24:718',10,-0.685994,0,1,0
254,'2021/11/03 19:40:24:824',10,-0.697245,0,1,0
255,'2021/11/03 19:40:30:133',11,0.061523,0,0,1
256,'2021/11/03 19:40:30:238',11,0.057983,0,0,1
257,'2021/11/03 19:40:30:343',11,0.059285,0,0,1
258,'2021/11/03 19:40:30:449',11,0.06545,0,0,1
259,'2021/11/03 19:40:30:538',11,0.057353,0,0,1
