@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
145,'2021/11/08 20:47:23:484',3,1.230591,1.222595,1.221008,0,0,1,0,0
146,'2021/11/08 20:47:23:799',3,1.223206,1.226501,1.217224,0,0,1,0,0
147,'2021/11/08 20:47:24:114',3,1.232483,1.223694,1.233093,0,0,1,0,0
148,'2021/11/08 20:47:24:428',3,1.205933,1.21814,1.226257,0,0,1,0,0
149,'2021/11/08 20:47:24:758',3,1.225281,1.227539,1.22229,0,0,1,0,0
150,'2021/11/08 20:47:25:044',3,1.220398,1.223572,1.220093,0,0,1,0,0
151,'2021/11/08 20:47:25:359',3,1.219482,1.216736,1.222656,0,0,1,0,0
152,'2021/11/08 20:50:44:724',4,0.290344,0.266907,0.240295,0.973364,0.00616,0.689424,0.352729,0.797177
153,'2021/11/08 20:50:45:038',4,0.208313,0.203857,0.232483,0.973364,0.00616,0.689424,0.352729,0.797177
154,'2021/11/08 20:50:45:338',4,0.219238,0.307556,0.2995,0.973364,0.00616,0.689424,0.352729,0.797177
155,'2021/11/08 20:50:45:653',4,0.398865,0.564087,0.687866,0.973364,0.00616,0.689424,0.352729,0.797177
156,'2021/11/08 20:50:45:969',4,0.794556,0.83728,0.863098,0.973364,0.00616,0.689424,0.352729,0.797177
157,'2021/11/08 20:50:46:284',4,0.874817,0.98291,0.956299,0.973364,0.00616,0.689424,0.352729,0.797177
158,'2021/11/08 20:50:46:599',4,0.923523,0.942688,0.930847,0.973364,0.00616,0.689424,0.352729,0.797177
159,'2021/11/08 20:50:46:899',4,0.989319,1.10321,1.015625,0.973364,0.00616,0.689424,0.352729,0.797177
160,'2021/11/08 20:50:47:213',4,0.972717,1.013428,1.070068,0.973364,0.00616,0.689424,0.352729,0.797177
161,'2021/11/08 20:50:47:529',4,1.033752,0.987976,0.958435,0.973364,0.00616,0.689424,0.352729,0.797177
162,'2021/11/08 20:50:47:844',4,0.893311,0.881897,0.975403,0.973364,0.00616,0.689424,0.352729,0.797177
163,'2021/11/08 20:50:48:158',4,0.980286,0.963074,0.973755,0.973364,0.00616,0.689424,0.352729,0.797177
164,'2021/11/08 20:50:48:458',4,0.885559,0.747375,0.681458,0.973364,0.00616,0.689424,0.352729,0.797177
165,'2021/11/08 20:50:48:773',4,0.713684,0.620667,0.682739,0.973364,0.00616,0.689424,0.352729,0.797177
166,'2021/11/08 20:50:49:118',4,0.690552,0.725769,0.644287,0.973364,0.00616,0.689424,0.352729,0.797177
167,'2021/11/08 20:50:49:403',4,0.629395,0.562073,0.608154,0.973364,0.00616,0.689424,0.352729,0.797177
